NCESID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,ENROLLMENT,START_GRAD,END_GRADE,FULL_TIME_
BB041180,YESHIVA BEIS MEIR (BOYS),1327 38TH ST,BROOKLYN,NY,11218,NOT AVAILABLE,4,1,197,KINGS,36047,US,40.640805,-73.984802,176,08,12,21
A0302232,HEBREW KINDERGARTEN & INFANTS HOME,310 BEACH 20TH ST,FAR ROCKAWAY,NY,11691,NOT AVAILABLE,7,1,29,QUEENS,36081,US,40.597728,-73.753952,25,PK,KG,4
BB101073,YESHIVA IMREI PHI,1462 38,BROOKLYN,NY,11218,NOT AVAILABLE,1,1,110,KINGS,36047,US,40.638818,-73.982001,102,08,12,8
00935533,YESHIVA MESIVTA ARUGATH HABOSEM,40 LYNCH ST,BROOKLYN,NY,11206,NOT AVAILABLE,1,1,550,KINGS,36047,US,40.700282,-73.955803,500,KG,08,50
A1101669,EFSTATHIOS & STAMATIKI VALIOTS GREEK-AMERICAN SCHO,1203 150TH ST,WHITESTONE,NY,11357,NOT AVAILABLE,1,1,41,QUEENS,36081,US,40.790562,-73.814136,39,PK,01,2
A1101745,YESHIVA MESIVTA CHERNOBIL,4114 12TH AVE,BROOKLYN,NY,11219,NOT AVAILABLE,1,1,79,KINGS,36047,US,40.640775,-73.990063,74,08,12,5
00926234,HOLY CROSS HIGH SCHOOL,2620 FRANCIS LEWIS BLVD,FLUSHING,NY,11358,NOT AVAILABLE,1,1,937,QUEENS,36081,US,40.771148,-73.795434,886,08,12,51
00942857,YESHIVA SHAAREI YOSHER,4102 16TH AVE,BROOKLYN,NY,11204,NOT AVAILABLE,1,1,113,KINGS,36047,US,40.635413,-73.981179,101,08,12,12
A9105144,YESHIVAS BOYAN TIFERES MORDECHAI SHLOMO,1205 44TH ST,BROOKLYN,NY,11219,NOT AVAILABLE,1,1,223,KINGS,36047,US,40.639079,-73.990991,215,PK,08,8
00920185,HOLY ROSARY ELEMENTARY SCHOOL,100 JEROME AVE,STATEN ISLAND,NY,10305,NOT AVAILABLE,1,1,273,RICHMOND,36085,US,40.595722,-74.076171,262,PK,08,11
A1101747,YESHIVAT LEV TORAH,2710 AVENUE X,BROOKLYN,NY,11235,NOT AVAILABLE,1,1,199,KINGS,36047,US,40.593386,-73.943083,178,KG,08,21
A0902444,YESHIVAT SHAARE RAHAMIM,1244 E 7TH ST,BROOKLYN,NY,11230,NOT AVAILABLE,1,1,37,KINGS,36047,US,40.620562,-73.96867,34,08,12,3
A0107611,IDEAL ISLAMIC SCHOOL,3129 12TH ST,ASTORIA,NY,11106,NOT AVAILABLE,1,1,40,QUEENS,36081,US,40.768283,-73.933687,33,PK,06,7
A1101674,ISLAMIC LEADERSHIP SCHOOL,2000 WESTCHESTER AVE 8,BRONX,NY,10462,NOT AVAILABLE,1,1,19,BRONX,36005,US,40.833451,-73.857131,15,01,10,4
A1101676,POPE JOHN PAUL II FAMILY ACADEMY,139 MENAHAN ST,BROOKLYN,NY,11221,NOT AVAILABLE,1,1,132,KINGS,36047,US,40.696011,-73.919442,123,PK,04,9
A0302240,KESSER MALKA,1019 46TH ST,BROOKLYN,NY,11219,NOT AVAILABLE,1,1,243,KINGS,36047,US,40.640501,-73.996356,217,KG,02,26
A9903214,KINGS HWY PREPARATORY,9218 KINGS HWY,BROOKLYN,NY,11212,NOT AVAILABLE,7,1,2,KINGS,36047,US,40.65657,-73.920907,1,PK,KG,1
A1101685,MANHATTAN FREE SCHOOL,115 E 106TH ST,NEW YORK,NY,10029,NOT AVAILABLE,1,1,26,NEW YORK,36061,US,40.792748,-73.94687,23,UG,UG,3
00940703,MARTIN DE PORRES SCHOOL,13625 218TH ST,SPRINGFIELD GARDENS,NY,11413,NOT AVAILABLE,4,1,531,QUEENS,36081,US,40.676214,-73.753075,486,01,12,45
00943395,MESIVTA MKOR CHAIM SCHOOL,1571 55TH ST,BROOKLYN,NY,11219,NOT AVAILABLE,1,1,57,KINGS,36047,US,40.628086,-73.989307,54,08,12,3
BB081208,MOSDOS KRULA,799 KENT AVE,BROOKLYN,NY,11205,NOT AVAILABLE,1,1,290,KINGS,36047,US,40.696958,-73.959304,272,PK,08,18
A1101695,MOST HOLY REDEEMER CATHOLIC ACADEMY,14628 JASMINE AVE,FLUSHING,NY,11355,NOT AVAILABLE,1,1,160,QUEENS,36081,US,40.753012,-73.813709,149,PK,08,11
A1101696,MOTHER FRANCISKA ELEMENTARY SCHOOL,850 HYLAN BLVD,STATEN ISLAND,NY,10305,NOT AVAILABLE,4,1,52,RICHMOND,36085,US,40.599743,-74.070771,46,UG,UG,6
K9303939,NAZARETH NURSERY,216 W 15TH ST,NEW YORK,NY,10011,NOT AVAILABLE,2,1,8,NEW YORK,36061,US,40.739547,-74.000158,6,PK,KG,2
A1101700,NEW HOPE RESTORATION GIFTED ACADEMY,10101 SPRINGFIELD BLVD,QUEENS VILLAGE,NY,11429,NOT AVAILABLE,1,1,4,QUEENS,36081,US,40.714616,-73.735617,2,01,02,2
00936162,AHI EZER YESHIVA SCHOOL,2433 OCEAN PKWY,BROOKLYN,NY,11235,NOT AVAILABLE,1,1,280,KINGS,36047,US,40.590279,-73.964649,250,PK,08,30
AA001438,BAIS FRUMA,1377 42ND ST,BROOKLYN,NY,11219,NOT AVAILABLE,1,1,322,KINGS,36047,US,40.637879,-73.985967,272,PK,12,50
A1101624,BAIS UVI GRIEDING,5506 16TH AVE,BROOKLYN,NY,11229,NOT AVAILABLE,1,1,51,KINGS,36047,US,40.627629,-73.989324,41,PK,04,10
A1101628,BAYSIDE LUTHERAN SCHOOL,155-14 35TH AVE,FLUSHING,NY,11354,NOT AVAILABLE,7,1,5,QUEENS,36081,US,40.765722,-73.809303,4,PK,KG,1
BB041254,BEER HAGOLAH INSTITUTES (B & G),671 LOUISIANA AVE,BROOKLYN,NY,11239,NOT AVAILABLE,1,1,549,KINGS,36047,US,40.64597,-73.882903,460,PK,12,89
BB021353,BETH JACOB OF BORO PARK,1371 46TH ST,BROOKLYN,NY,11219,NOT AVAILABLE,1,1,1623,KINGS,36047,US,40.63604,-73.988924,1542,PK,08,81
A1101630,BISHOP PATRICK V AHERN HIGH SCHOOL,315 ARLENE ST,STATEN ISLAND,NY,10314,NOT AVAILABLE,4,1,42,RICHMOND,36085,US,40.610098,-74.164635,37,UG,UG,5
A1101633,BLUE SCHOOL,241 WATER ST,NEW YORK,NY,10038,NOT AVAILABLE,6,1,101,NEW YORK,36061,US,40.707785,-74.002583,89,PK,03,12
A1101634,BNOS CHOMESH ACADEMY,262 KINGSTON AVE,BROOKLYN,NY,11213,NOT AVAILABLE,1,1,40,KINGS,36047,US,40.670555,-73.942257,28,08,12,12
A1101637,BNOS YAAKOV,4512 14TH AVE,BROOKLYN,NY,11219,NOT AVAILABLE,1,1,174,KINGS,36047,US,40.635805,-73.987956,145,08,11,29
A1101638,BNOT CHAYA ACADEMY,2020 CONEY ISLAND AVE,BROOKLYN,NY,11223,NOT AVAILABLE,1,1,32,KINGS,36047,US,40.60815,-73.962269,29,UG,UG,3
00939491,BREARLEY SCHOOL,610 E 83RD ST,NEW YORK,NY,10028,NOT AVAILABLE,1,1,835,NEW YORK,36061,US,40.77247,-73.945254,710,KG,12,125
BB964126,CARE AND LOVE CENTER,22823 MERRICK BLVD,LAURELTON,NY,11413,NOT AVAILABLE,7,1,13,QUEENS,36081,US,40.676669,-73.741373,10,PK,KG,3
A1101642,CARRIG MONTESSORI SCHOOL,100 MASPETH AVE,BROOKLYN,NY,11211,NOT AVAILABLE,2,1,10,KINGS,36047,US,40.715851,-73.939067,5,PK,KG,5
00926245,CATHERINE MC AULEY HIGH SCHOOL,710 E 37TH ST,BROOKLYN,NY,11203,NOT AVAILABLE,1,1,197,KINGS,36047,US,40.63924,-73.941946,185,08,12,12
A0902355,OHEL ELOZER,161 N HARRISON AVE,BROKLYN,NY,11206,NOT AVAILABLE,1,1,139,KINGS,36047,US,40.702014,-73.948831,133,08,12,6
BB041325,CCS MONTESSORI CENTER,16527 BAISLEY BLVD,JAMAICA,NY,11434,NOT AVAILABLE,2,1,11,QUEENS,36081,US,40.67998,-73.777956,10,PK,KG,1
A0971574,ONCE UPON A TIME,8761 111TH ST,RICHMOND HILL,NY,11418,NOT AVAILABLE,7,1,6,QUEENS,36081,US,40.695324,-73.836056,3,PK,TK,3
00925751,OUR LADYS CATHOLIC ACADEMY,12518 ROCKAWAY BLVD,SOUTH OZONE PARK,NY,11420,NOT AVAILABLE,1,1,267,QUEENS,36081,US,40.675122,-73.811976,253,KG,08,14
00941048,OUR SAVIOUR LUTHERAN SCHOOL,6433 WOODHAVEN BLVD,REGO PARK,NY,11374,NOT AVAILABLE,1,1,81,QUEENS,36081,US,40.720775,-73.865428,69,PK,08,12
BB081325,P T A C H,85 PARKVILLE AVE,BROOKLYN,NY,11230,NOT AVAILABLE,4,1,35,KINGS,36047,US,40.629383,-73.974962,29,02,08,6
A1101649,CITY OF FAITH CHRISTIAN SCHOOL,3445 WHITE PLAINS RD,BRONX,NY,10467,NOT AVAILABLE,1,1,76,BRONX,36005,US,40.876692,-73.867322,68,PK,04,8
A1101707,PEOPLES ELEMENTARY SCHOOL,2 VAN SINDEREN AVE,BROOKLYN,NY,11207,NOT AVAILABLE,1,1,457,KINGS,36047,US,40.677621,-73.903509,439,PK,08,18
BB081251,PRECIOUS CHILDHOOD EARLY ACADEMY,9624 KINGS HWY,BROOKLYN,NY,11212,NOT AVAILABLE,7,1,5,KINGS,36047,US,40.659897,-73.919767,4,PK,TK,1
A1101711,RAVENS ELEMENTARY SCHOOL,1102 E 92ND ST,BROOKLYN,NY,11236,NOT AVAILABLE,1,1,127,KINGS,36047,US,40.642385,-73.906303,120,KG,06,7
00937075,RIVERDALE COUNTRY SCHOOL,5250 FIELDSTON RD,BRONX,NY,10471,NOT AVAILABLE,1,1,1265,BRONX,36005,US,40.899679,-73.90063,1122,PK,12,143
A1101713,ROSEDALE CHILD DEVELOPMENT CENTER,13355 242ND ST,ROSEDALE,NY,11422,NOT AVAILABLE,1,1,55,QUEENS,36081,US,40.673426,-73.731723,49,PK,07,6
BB963666,CORTELYOU EARLY CHILDHOOD CENTER,1110 CORTELYOU RD,BROOKLYN,NY,11218,NOT AVAILABLE,1,1,115,KINGS,36047,US,40.639636,-73.967489,108,PK,05,7
A1101715,SARAH DABAH SCHOOL,2221 AVENUE R,BROOKLYN,NY,11229,NOT AVAILABLE,1,1,100,KINGS,36047,US,40.606973,-73.950258,86,PK,08,14
00919872,ST FRANCIS OF ASSISI SCHOOL,4300 BAYCHESTER AVE,BRONX,NY,10466,NOT AVAILABLE,1,1,288,BRONX,36005,US,40.897169,-73.84493,275,PK,08,13
A1101653,DARKEI CHAIM,1270 52ND ST,BROOKLYN,NY,11219,NOT AVAILABLE,1,1,142,KINGS,36047,US,40.633531,-73.994431,133,PK,04,9
00925208,ST JOAN OF ARC ELEMENTARY SCHOOL,3527 82ND ST,JACKSON HEIGHTS,NY,11372,NOT AVAILABLE,1,1,495,QUEENS,36081,US,40.751392,-73.88439,473,PK,08,22
A1101654,DARKEI TSHIVO OF DINOV,77 WALLABOUT ST # 4,BROOKLYN,NY,11249,NOT AVAILABLE,1,1,100,KINGS,36047,US,40.699652,-73.958419,92,08,12,8
00919125,ST JOHN CHRYSOSTOM SCHOOL,1144 HOE AVE,BRONX,NY,10459,NOT AVAILABLE,1,1,342,BRONX,36005,US,40.827315,-73.890788,325,PK,08,17
00935227,ST LUKES SCHOOL,487 HUDSON ST,NEW YORK,NY,10014,NOT AVAILABLE,1,1,216,NEW YORK,36061,US,40.732605,-74.006718,191,PK,08,25
A1140017,ST RITA SCHOOL,30 WELLBROOK AVE,STATEN ISLAND,NY,10314,NOT AVAILABLE,1,1,295,RICHMOND,36085,US,40.604771,-74.131035,284,PK,08,11
00922546,ST TERESA SCHOOL,1632 VICTORY BLVD,STATEN ISLAND,NY,10314,NOT AVAILABLE,1,1,283,RICHMOND,36085,US,40.612745,-74.117738,270,PK,08,13
A9903260,TALMUD TORAH IMREI CHAIM,1824 53RD ST,BROOKLYN,NY,11204,NOT AVAILABLE,1,1,589,KINGS,36047,US,40.625367,-73.98256,562,PK,07,27
A1101726,THE CHILDRENS ACADEMY,350 E 82ND ST,NEW YORK,NY,10028,NOT AVAILABLE,4,1,22,NEW YORK,36061,US,40.774449,-73.952015,13,UG,UG,9
00938374,THE CHURCHILL SCHOOL & CENTER,301 E 29TH ST,NEW YORK,NY,10016,NOT AVAILABLE,4,1,530,NEW YORK,36061,US,40.741584,-73.977427,432,KG,12,98
A1101727,THE LANG SCHOOL,291 BROADWAY,NEW YORK,NY,10007,NOT AVAILABLE,3,1,23,NEW YORK,36061,US,40.714886,-74.00611,15,KG,07,8
A1140018,THE MANDELL SCHOOL,795 COLUMBUS AVE,NEW YORK,NY,10025,NOT AVAILABLE,1,1,288,NEW YORK,36061,US,40.794307,-73.966088,243,PK,07,45
A1101730,THE NEW CHAPTER ACADEMY,219-09 LINDEN BLVD,CAMBRIA HEIGHTS,NY,11411,NOT AVAILABLE,1,1,63,QUEENS,36081,US,40.695561,-73.7407,55,PK,08,8
00939629,THE SPENCE SCHOOL,22 E 91ST ST,NEW YORK,NY,10128,NOT AVAILABLE,1,1,810,NEW YORK,36061,US,40.78426,-73.957518,705,KG,12,105
A1101731,THE SPEYER LEGACY SCHOOL,15 W 86TH ST,NEW YORK,NY,10024,NOT AVAILABLE,3,1,112,NEW YORK,36061,US,40.785837,-73.97015,96,KG,04,16
