NCESID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,ENROLLMENT,START_GRAD,END_GRADE,FULL_TIME_
A0990087,F R E E (MAZEL DAY SCHOOL),2901 BRIGHTON 6TH ST 2915,BROOKLYN,NY,11235,NOT AVAILABLE,1,1,67,KINGS,36047,US,40.581211,-73.96258,57,PK,05,10
A0502614,YESHIVA SHAREI HATZLUCHA,5309 18TH AVE,BROOKLYN,NY,11204,NOT AVAILABLE,1,1,246,KINGS,36047,US,40.623392,-73.986752,233,PK,08,13
00939141,ST HILDAS & ST HUGHS SCHOOL,619 W 114TH ST,NEW YORK,NY,10025,NOT AVAILABLE,1,1,363,NEW YORK,36061,US,40.807371,-73.965935,311,PK,08,52
00942267,WINDMILL MONTESSORI SCHOOL,1317 AVENUE T,BROOKLYN,NY,11229,NOT AVAILABLE,2,1,214,KINGS,36047,US,40.601149,-73.957992,197,PK,08,17
A0508014,AVALON CHILDCARE FIFTH AVENUE,552 5TH AVE,BROOKLYN,NY,11215,NOT AVAILABLE,6,1,97,KINGS,36047,US,40.665592,-73.989653,83,KG,01,14
A0509129,HYCHEL HATORAH OF WILLIAMSBURG,70 FRANKLIN AVE,BROOKLYN,NY,11205,NOT AVAILABLE,1,1,289,KINGS,36047,US,40.69689,-73.958694,269,08,12,20
A9104665,ABRAHAM JOSHUA HESCHEL HIGH SCHOOL,20 W END AVE,NEW YORK,NY,10023,NOT AVAILABLE,1,1,329,NEW YORK,36061,US,40.772292,-73.989543,273,08,12,56
A0701637,NEW GENERATION ELEMENTARY SCHOOL,960 NEW YORK AVE,BROOKLYN,NY,11203,NOT AVAILABLE,1,1,14,KINGS,36047,US,40.649799,-73.946822,8,PK,02,6
A0701653,MESIVTA IMREI YOSEF SPINKA,1466 56TH ST 72,BROOKLYN,NY,11219,NOT AVAILABLE,1,1,70,KINGS,36047,US,40.62865,-73.992465,57,08,12,13
A9903146,BNOS MALKA ACADEMY,7102 113TH ST,FOREST HILLS,NY,11375,NOT AVAILABLE,1,1,328,QUEENS,36081,US,40.7229,-73.838312,305,PK,08,23
AA890707,YESHIVA KETANA OF MANHATTAN,346 W 89TH ST,NEW YORK,NY,10024,NOT AVAILABLE,1,1,156,NEW YORK,36061,US,40.791448,-73.978616,139,PK,08,17
BB041161,YESHIVA AHAVAS ISRAEL BOYS,2 LEE AVE,BROOKLYN,NY,11211,NOT AVAILABLE,1,1,423,KINGS,36047,US,40.707362,-73.962022,393,PK,08,30
BB041276,EL-BER ISLAMIC SCHOOL,2542 49TH ST,ASTORIA,NY,11103,NOT AVAILABLE,1,1,108,QUEENS,36081,US,40.763678,-73.90559,100,PK,05,8
BB081245,UNITED TALMUDICAL ACADEMY,82 LEE AVE,BROOKLYN,NY,11211,NOT AVAILABLE,1,1,3571,KINGS,36047,US,40.705098,-73.959605,3319,PK,12,252
BB101060,YESHIVA MEOR HATALMUD,1368 39TH ST,BROOKLYN,NY,11218,NOT AVAILABLE,1,1,142,KINGS,36047,US,40.639466,-73.984722,128,08,12,14
BB101103,ARK CHRISTIAN ACADEMY,1710 EASTERN PKWY,BROOKLYN,NY,11233,NOT AVAILABLE,1,1,65,KINGS,36047,US,40.67242,-73.911675,60,01,05,5
BB101107,SCHOLAR SKILLS CHRISTIAN ACADEMY,4705 AVENUE N,BROOKLYN,NY,11234,NOT AVAILABLE,1,1,27,KINGS,36047,US,40.618589,-73.929437,23,03,11,4
K9304074,THE COMMUNITY HOUSE SCHOOL,15 BORAGE PL,FOREST HILLS,NY,11375,NOT AVAILABLE,7,1,4,QUEENS,36081,US,40.716433,-73.841147,3,PK,KG,1
Y0936628,YESHIVA TORAS EMES KAMINETZ ELEMENTARY SCHOOL,1904 AVENUE N,BROOKLYN,NY,11230,NOT AVAILABLE,1,1,285,KINGS,36047,US,40.615804,-73.955377,263,PK,08,22
A0902269,BRITISH INTERNATIONAL SCHOOL OF NY,20 WATERSIDE PLAZA,NEW YORK,NY,10010,NOT AVAILABLE,1,1,400,NEW YORK,36061,US,40.736864,-73.974066,335,PK,08,65
A0902270,BROOKLYN AUTISM CENTER ACADEMY,111 REMSEN ST,BROOKLYN,NY,11201,NOT AVAILABLE,4,1,18,KINGS,36047,US,40.69416,-73.993876,9,UG,UG,9
A0902283,CORONA CHRISTIAN ACADEMY,99-11 57TH AVE-CORONA-NY-11368,CORONA,NY,11368,NOT AVAILABLE,1,1,23,QUEENS,36081,US,40.738312,-73.859729,20,PK,08,3
A0902315,JOSEPH S GRUSS YESHIVA HIGH SCHOOL,1904 AVENUE N,BROOKLYN,NY,11230,NOT AVAILABLE,1,1,97,KINGS,36047,US,40.615804,-73.955377,91,08,12,6
A0902318,THE KINGS ACADEMY,2345 3RD AVE,NEW YORK,NY,10035,NOT AVAILABLE,1,1,35,NEW YORK,36061,US,40.805521,-73.935189,25,PK,08,10
A0902322,LEFFERTS GARDEN MONTESSORI,527 ROGERS AVE,BROOKLYN,NY,11225,NOT AVAILABLE,2,1,35,KINGS,36047,US,40.658191,-73.953026,25,PK,KG,10
A0902392,TALMUD TORAH DRABINU YOEL,5411 FORT HAMILTON PKWY,BROOKLYN,NY,11219,NOT AVAILABLE,1,1,1360,KINGS,36047,US,40.63569,-74.001179,1184,PK,06,176
A0107548,ELISHAMA CHILDRENS PREP SCHOOL,20618 HOLLIS AVE,QUEENS VILLAGE,NY,11429,NOT AVAILABLE,2,1,48,QUEENS,36081,US,40.707244,-73.750511,40,PK,03,8
A0902279,CLARA MUMAMMAD SCHOOL,102 W 116TH ST FRNT 1,NEW YORK,NY,10026,NOT AVAILABLE,1,1,4,NEW YORK,36061,US,40.802006,-73.950205,2,PK,05,2
A0902296,GOLD MATERIAL,105 KINGS HWY,BROOKLYN,NY,11214,NOT AVAILABLE,2,1,12,KINGS,36047,US,40.60642,-73.987848,10,PK,KG,2
A0902439,YESHIVA OHEL SARAH MERCAZ GAN YISOEL,1649 E 13TH ST,BROOKLYN,NY,11229,NOT AVAILABLE,1,1,65,KINGS,36047,US,40.608957,-73.959929,57,PK,05,8
A0971530,ELLA BAKER/CHARLES ROMAIN CHILD DEV CTR,1150 CARROLL ST,BROOKLYN,NY,11225,NOT AVAILABLE,6,1,33,KINGS,36047,US,40.66706,-73.952311,27,PK,05,6
A9104914,MESIVTA RABBI SAMSON RAPHAEL HIRSCH,220 BENNETT AVE,NEW YORK,NY,10040,NOT AVAILABLE,1,1,70,NEW YORK,36061,US,40.857071,-73.933884,60,07,12,10
A0502424,BNOS SQUARE OF WILLIAMSBURG,382 WILLOUGHBY AVE,BROOKLYN,NY,11205,NOT AVAILABLE,1,1,294,KINGS,36047,US,40.692897,-73.955284,272,PK,07,22
A0508010,HENFIELD PARKCHESTER CHILDRENS CENTER,2119 STARLING AVE,BRONX,NY,10462,NOT AVAILABLE,7,1,9,BRONX,36005,US,40.836337,-73.854375,8,PK,KG,1
BB000817,YESHIVA OF KINGS BAY,2611 AVENUE Z,BROOKLYN,NY,11235,NOT AVAILABLE,1,1,204,KINGS,36047,US,40.589415,-73.943249,184,PK,08,20
A9903137,BET YAAKOV ATERET TORAH,2166 CONEY ISLAND AVE,BROOKLYN,NY,11223,NOT AVAILABLE,1,1,750,KINGS,36047,US,40.604047,-73.962149,696,PK,12,54
A9903297,YESHIVAT OHEL TORAH,1760 53RD ST,BROOKLYN,NY,11204,NOT AVAILABLE,1,1,211,KINGS,36047,US,40.626266,-73.983958,175,PK,12,36
BB041112,FIRST CHOICE ACADEMY,192 E 58TH ST,BROOKLYN,NY,11203,NOT AVAILABLE,7,1,7,KINGS,36047,US,40.65039,-73.922774,6,PK,KG,1
BB041309,MI NUEVO MUNDO CHILDREN EDUCATION CENTER,3105 51ST ST,WOODSIDE,NY,11377,NOT AVAILABLE,7,1,30,QUEENS,36081,US,40.75671,-73.90753,28,PK,KG,2
BB081358,SUMMIT SCHOOL,18302 UNION TPKE,FRESH MEADOWS,NY,11366,NOT AVAILABLE,4,1,136,QUEENS,36081,US,40.727707,-73.785035,120,03,08,16
A0302192,BAIS ROCHEL SCHOOL,62 HARRISON AVE,BROOKLYN,NY,11211,NOT AVAILABLE,1,1,3948,KINGS,36047,US,40.704425,-73.95226,3587,PK,12,361
A0302227,GREAT TOMORROWS ELEMENTARY MIDDLE SCHOOL,38 W 123RD ST,NEW YORK,NY,10027,NOT AVAILABLE,1,1,54,NEW YORK,36061,US,40.806213,-73.946217,45,KG,04,9
BB041277,ST DEMITRIOS ASTORIA SCHOOL,2230 33RD ST,ASTORIA,NY,11105,NOT AVAILABLE,1,1,572,QUEENS,36081,US,40.774895,-73.910771,512,PK,12,60
BB061148,YESHIVA PRIMARY & JUNIOR HIGH SCHOOL,21010 UNION TPKE,OAKLAND GARDENS,NY,11364,NOT AVAILABLE,1,1,120,QUEENS,36081,US,40.733124,-73.760248,106,PK,08,14
